STN---,WBAN , YEARMODA,   TEMP, TEMP2 ,   DEWP, DEWP2 ,  SLP  , SLP2 ,  STP  , STP2 , VISIB, VISIB2 ,  WDSP,  WDSP2, MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
726580,14922, 19910324,   40.1,24,   28.6,24, 1011.7,24,  980.6,24,  15.9,24,  10.9,24,  19.0, 999.9,   53.1*,  33.1 , 0.02G,  0.4, 011000,
726580,14922, 19910325,   44.2,24,   29.0,24, 1014.0,24,  983.0,24,  16.2,24,   8.6,24,  18.1,  24.1,   57.9*,  30.9 , 0.00D,999.9, 010000,
726580,14922, 19910326,   54.7,24,   43.8,24, 1000.2,24,  970.0,24,  10.6,24,   7.9,24,  15.0,  26.0,   73.0*,  30.9 , 0.00G,999.9, 100000,
726580,14922, 19910327,   44.5,24,   40.7,24,  994.0,24,  964.0,24,   6.3,24,  11.2,24,  17.1,  24.1,   73.9 ,  30.9*, 0.35G,999.9, 111000,
726580,14922, 19910328,   27.0,24,   13.4,24, 1004.5,24,  973.3,24,  16.5,24,  13.9,24,  21.0,  27.0,   33.1*,  21.0 , 0.02G,  0.4, 001000,
726580,14922, 19910329,   26.1,24,    6.3,24, 1017.6,24,  985.9,24,  18.4,24,  11.2,24,  17.1,  22.9,   34.0 ,  18.0 , 0.00G,999.9, 000000,
726580,14922, 19910330,   28.8,24,   12.3,24, 1021.5,24,  989.8,24,  18.8,24,   9.5,24,  19.0,  26.0,   42.1*,  17.1 , 0.00G,999.9, 000000,
726580,14922, 19910331,   40.1,24,   28.8,24, 1015.7,24,  984.5,24,  14.8,24,  12.1,24,  22.9,  33.0,   51.1*,  17.1 , 0.13G,999.9, 010000,
726580,14922, 19910401,   40.2,24,   19.9,24, 1025.0,24,  993.6,24,  19.1,24,   5.8,24,  13.0,  20.0,   52.0 ,  28.9 , 0.00G,999.9, 000000,
726580,14922, 19910402,   44.9,24,   23.0,24, 1024.3,24,  993.0,24,  14.9,24,  11.6,24,  18.1,  25.1,   60.1*,  28.9 , 0.00G,999.9, 000000,
726580,14922, 19910403,   52.4,24,   34.6,24, 1022.0,24,  991.1,24,  11.4,24,  10.0,24,  14.0, 999.9,   69.1*,  34.0 , 0.00G,999.9, 000000,
